user_id,date,device,gender
450007,2/28/2015,Desktop,Female
756838,1/13/2015,Desktop,Male
568983,4/9/2015,Desktop,Male
190794,2/18/2015,Desktop,Female
537909,1/15/2015,Desktop,Male
993454,3/3/2015,Desktop,Male
377150,4/15/2015,Desktop,Female
137258,1/27/2015,Mobile,Male
608249,4/12/2015,Desktop,Female
615615,2/24/2015,Mobile,Female
96069,4/13/2015,Mobile,Female
664476,2/13/2015,Desktop,Female
236201,3/14/2015,Desktop,Male
796359,4/2/2015,Desktop,Male
592962,4/25/2015,Desktop,Male
971488,2/27/2015,Desktop,Female
610157,2/11/2015,Desktop,Female
561375,4/11/2015,Desktop,Female
624556,1/25/2015,Desktop,Male
443293,3/19/2015,Mobile,Male
435414,3/11/2015,Mobile,Female
969529,4/14/2015,Desktop,Female
830503,1/21/2015,Desktop,Female
184748,2/18/2015,Mobile,Male
68397,4/2/2015,Desktop,Male
682442,4/3/2015,Desktop,Male
62655,1/30/2015,Desktop,Female
159517,3/25/2015,Desktop,Male
78294,4/19/2015,Mobile,Female
504960,3/8/2015,Desktop,Female
449259,2/15/2015,Desktop,Male
976991,4/24/2015,Desktop,Male
639988,4/3/2015,Desktop,Female
668253,2/5/2015,Desktop,Male
838832,3/8/2015,Desktop,Female
126297,1/1/2015,Mobile,Male
700880,1/7/2015,Desktop,Male
606959,2/21/2015,Desktop,Female
252135,3/10/2015,Mobile,Male
886066,1/10/2015,Desktop,Male
283193,2/12/2015,Desktop,Male
527765,3/13/2015,Mobile,Male
265629,4/27/2015,Mobile,Male
469531,4/20/2015,Mobile,Male
632470,3/6/2015,Desktop,Male
142395,2/21/2015,Desktop,Female
948203,3/3/2015,Desktop,Female
601434,2/3/2015,Desktop,Male
429473,2/28/2015,Mobile,Female
291813,3/28/2015,Desktop,Female
378948,3/6/2015,Mobile,Male
220197,1/14/2015,Desktop,Female
245517,2/23/2015,Desktop,Female
594992,4/18/2015,Mobile,Male
231324,2/22/2015,Desktop,Female
107605,3/4/2015,Desktop,Female
870834,2/11/2015,Mobile,Male
604565,4/3/2015,Desktop,Female
984873,4/4/2015,Desktop,Female
623145,4/4/2015,Mobile,Male
457209,1/7/2015,Desktop,Female
13830,2/5/2015,Desktop,Male
716584,3/15/2015,Desktop,Male
434895,1/7/2015,Desktop,Female
471874,2/17/2015,Desktop,Male
838723,2/19/2015,Desktop,Male
731725,3/26/2015,Mobile,Male
25566,4/12/2015,Desktop,Male
566349,2/27/2015,Desktop,Female
880532,4/10/2015,Desktop,Male
574808,2/19/2015,Desktop,Female
418014,2/22/2015,Desktop,Female
205344,1/27/2015,Desktop,Female
176571,1/3/2015,Desktop,Female
41600,2/21/2015,Desktop,Female
727796,3/26/2015,Desktop,Male
167038,4/13/2015,Mobile,Male
94187,4/30/2015,Desktop,Male
985123,4/13/2015,Mobile,Female
965822,2/19/2015,Desktop,Female
999441,2/6/2015,Mobile,Male
872473,1/26/2015,Desktop,Male
476955,3/23/2015,Mobile,Female
384199,3/24/2015,Desktop,Male
388103,3/30/2015,Desktop,Female
407805,3/18/2015,Desktop,Female
779585,2/8/2015,Mobile,Male
958443,1/31/2015,Desktop,Male
846115,3/12/2015,Mobile,Female
647067,3/5/2015,Mobile,Male
210950,1/15/2015,Desktop,Male
178373,4/30/2015,Desktop,Male
67626,3/22/2015,Desktop,Male
355552,3/22/2015,Desktop,Female
795169,3/26/2015,Mobile,Female
552008,4/19/2015,Mobile,Male
874797,1/26/2015,Desktop,Female
336186,2/20/2015,Desktop,Male
449714,1/28/2015,Mobile,Male
635882,2/22/2015,Desktop,Female
648838,2/27/2015,Mobile,Female
920130,4/3/2015,Desktop,Male
853085,1/9/2015,Desktop,Male
141250,3/20/2015,Desktop,Male
155756,1/14/2015,Mobile,Male
435742,2/1/2015,Mobile,Female
179518,1/5/2015,Desktop,Female
83581,1/30/2015,Desktop,Male
801991,1/4/2015,Desktop,Female
637254,1/9/2015,Desktop,Male
324784,4/4/2015,Mobile,Male
587563,1/17/2015,Desktop,Male
797730,3/20/2015,Desktop,Male
239133,4/24/2015,Desktop,Male
821176,1/30/2015,Desktop,Female
193027,4/3/2015,Desktop,Female
524052,3/12/2015,Desktop,Female
782646,4/6/2015,Mobile,Female
707617,2/20/2015,Mobile,Male
26481,3/14/2015,Desktop,Female
263024,4/27/2015,Desktop,Female
468189,1/1/2015,Mobile,Male
424187,1/13/2015,Desktop,Male
697998,1/13/2015,Desktop,Male
226861,2/8/2015,Mobile,Female
106038,1/7/2015,Desktop,Male
140864,1/19/2015,Mobile,Male
996089,3/16/2015,Desktop,Male
581208,1/2/2015,Desktop,Male
592297,4/26/2015,Desktop,Female
88600,4/19/2015,Desktop,Male
428198,2/23/2015,Desktop,Male
671415,3/21/2015,Mobile,Male
970783,3/27/2015,Desktop,Female
212557,4/19/2015,Desktop,Female
681538,2/8/2015,Desktop,Female
717441,1/30/2015,Mobile,Female
112814,4/9/2015,Mobile,Male
95108,1/29/2015,Desktop,Female
158455,4/25/2015,Desktop,Male
294234,3/16/2015,Mobile,Male
251157,3/10/2015,Desktop,Male
947971,3/8/2015,Desktop,Female
26348,1/27/2015,Desktop,Male
931071,3/16/2015,Mobile,Male
416753,3/3/2015,Desktop,Male
560881,3/6/2015,Desktop,Male
914566,4/1/2015,Desktop,Female
624314,4/7/2015,Desktop,Male
261175,4/18/2015,Mobile,Female
469756,1/24/2015,Desktop,Female
325655,2/19/2015,Mobile,Male
780988,4/3/2015,Desktop,Male
873311,1/19/2015,Mobile,Female
485948,3/3/2015,Mobile,Male
846486,2/4/2015,Desktop,Female
759991,2/10/2015,Desktop,Male
260665,4/2/2015,Mobile,Female
137037,4/11/2015,Desktop,Male
481376,3/29/2015,Mobile,Male
126569,2/24/2015,Desktop,Male
579677,3/26/2015,Mobile,Female
957293,4/16/2015,Desktop,Female
430295,1/21/2015,Mobile,Male
569491,3/29/2015,Desktop,Female
422726,1/10/2015,Desktop,Female
723540,4/29/2015,Desktop,Female
521442,2/1/2015,Mobile,Male
362111,4/1/2015,Desktop,Male
17329,4/2/2015,Desktop,Female
628199,4/2/2015,Mobile,Male
862101,3/21/2015,Desktop,Male
711742,3/17/2015,Desktop,Female
792150,4/18/2015,Desktop,Female
52348,2/20/2015,Mobile,Female
174311,3/27/2015,Desktop,Male
218289,2/26/2015,Desktop,Male
892708,2/27/2015,Mobile,Female
926378,4/5/2015,Desktop,Male
154247,3/1/2015,Desktop,Female
618376,1/14/2015,Mobile,Male
153398,3/20/2015,Mobile,Female
211834,2/23/2015,Desktop,Male
807280,4/17/2015,Mobile,Female
541702,3/7/2015,Desktop,Male
812904,4/25/2015,Desktop,Male
800490,2/27/2015,Mobile,Female
91251,4/19/2015,Desktop,Male
725835,4/18/2015,Desktop,Female
80921,1/21/2015,Desktop,Male
423478,3/3/2015,Mobile,Male
145498,1/28/2015,Mobile,Female
124672,4/10/2015,Desktop,Female
291840,3/5/2015,Desktop,Female
79105,2/17/2015,Desktop,Male
643460,4/21/2015,Desktop,Male
89968,4/13/2015,Desktop,Male
367090,1/12/2015,Desktop,Male
323678,4/3/2015,Desktop,Male
949671,2/25/2015,Mobile,Male
89464,2/23/2015,Mobile,Male
290391,3/31/2015,Mobile,Male
122651,2/21/2015,Desktop,Female
476508,4/30/2015,Desktop,Female
665984,2/8/2015,Mobile,Female
680460,3/4/2015,Desktop,Female
236586,3/27/2015,Desktop,Female
57108,4/18/2015,Desktop,Female
107888,4/10/2015,Desktop,Female
204170,3/30/2015,Desktop,Female
197117,4/17/2015,Desktop,Female
578008,1/18/2015,Desktop,Female
275484,4/17/2015,Desktop,Female
669237,2/3/2015,Desktop,Female
890176,3/6/2015,Desktop,Female
381241,3/18/2015,Mobile,Female
676989,4/17/2015,Desktop,Female
487368,2/17/2015,Desktop,Male
516375,2/28/2015,Desktop,Female
155766,2/3/2015,Desktop,Male
438980,4/21/2015,Mobile,Male
834664,4/18/2015,Desktop,Male
379453,1/2/2015,Desktop,Male
130249,2/1/2015,Desktop,Male
805888,3/26/2015,Desktop,Male
253420,4/23/2015,Mobile,Male
844399,2/24/2015,Desktop,Female
339785,2/12/2015,Mobile,Female
17533,3/13/2015,Desktop,Male
7371,3/17/2015,Desktop,Male
91631,2/15/2015,Desktop,Male
845493,1/24/2015,Mobile,Female
454000,3/1/2015,Mobile,Female
29134,2/26/2015,Desktop,Male
661568,3/21/2015,Desktop,Female
663684,2/5/2015,Mobile,Female
898375,4/13/2015,Desktop,Female
709847,2/13/2015,Desktop,Female
94009,1/28/2015,Mobile,Female
182763,1/12/2015,Desktop,Female
65594,3/2/2015,Desktop,Female
904505,3/19/2015,Desktop,Female
215864,1/30/2015,Desktop,Male
512615,2/3/2015,Mobile,Male
441149,4/13/2015,Desktop,Male
187957,2/6/2015,Desktop,Female
796149,3/17/2015,Desktop,Female
47219,1/7/2015,Desktop,Male
126069,1/18/2015,Desktop,Male
491650,3/23/2015,Desktop,Female
998063,4/15/2015,Desktop,Female
975403,2/13/2015,Mobile,Male
885532,2/22/2015,Desktop,Female
260528,2/27/2015,Desktop,Female
151208,4/21/2015,Desktop,Female
602831,1/7/2015,Desktop,Female
568481,4/11/2015,Mobile,Female
772976,4/12/2015,Mobile,Male
638861,1/21/2015,Desktop,Female
987443,2/23/2015,Desktop,Male
416339,1/23/2015,Desktop,Male
559850,2/11/2015,Mobile,Female
897418,3/1/2015,Desktop,Male
339931,2/2/2015,Desktop,Male
125185,1/19/2015,Mobile,Male
780090,3/30/2015,Desktop,Female
35826,1/17/2015,Desktop,Male
430068,1/26/2015,Mobile,Male
187512,1/5/2015,Mobile,Male
369484,3/19/2015,Desktop,Male
587936,4/4/2015,Mobile,Male
412728,2/20/2015,Desktop,Male
904376,2/12/2015,Mobile,Female
564780,2/27/2015,Desktop,Female
505376,1/14/2015,Desktop,Female
388175,3/21/2015,Mobile,Female
620270,3/19/2015,Desktop,Male
400068,3/11/2015,Desktop,Male
180565,4/14/2015,Mobile,Female
134685,4/7/2015,Desktop,Male
168356,4/1/2015,Desktop,Female
897602,1/3/2015,Desktop,Female
764380,4/16/2015,Desktop,Male
522493,4/23/2015,Mobile,Male
583695,1/23/2015,Mobile,Male
63946,2/16/2015,Mobile,Male
282317,4/3/2015,Desktop,Male
337953,1/13/2015,Desktop,Female
71082,1/15/2015,Mobile,Female
519200,4/20/2015,Desktop,Male
710795,2/24/2015,Desktop,Female
296440,2/11/2015,Desktop,Male
534254,2/21/2015,Mobile,Female
351524,2/27/2015,Desktop,Male
416069,1/14/2015,Mobile,Female
906664,3/6/2015,Desktop,Female
584150,3/21/2015,Mobile,Male
248849,1/29/2015,Mobile,Female
791103,3/20/2015,Desktop,Male
400664,2/28/2015,Desktop,Male
634177,1/9/2015,Mobile,Female
959511,3/13/2015,Desktop,Male
940933,2/20/2015,Desktop,Female
859497,2/11/2015,Desktop,Male
701429,2/24/2015,Desktop,Male
105857,4/17/2015,Desktop,Female
609743,4/30/2015,Desktop,Female
81323,4/11/2015,Mobile,Male
87410,4/7/2015,Mobile,Female
822245,2/6/2015,Desktop,Female
480688,4/26/2015,Desktop,Male
728916,3/26/2015,Desktop,Female
538099,3/25/2015,Desktop,Male
57070,2/9/2015,Desktop,Male
367111,2/24/2015,Mobile,Female
949100,4/25/2015,Desktop,Male
15922,2/13/2015,Desktop,Male
